id,numero junta,provincia,canton,distrito,datos certificación,datos procesados tse
1,Junta 8,SAN JOSE,CENTRAL,CARMEN,Certificación no disponible,99 Votos PPSO
2,Junta 21,SAN JOSE,CENTRAL,MERCED,177 Votos PSSO,Resultados no Procesados
3,Junta 32,SAN JOSE,CENTRAL,HOSPITAL,Certificación no disponible,152 Votos PPSO
4,Junta 34,SAN JOSE,CENTRAL,HOSPITAL,0 Votos PPSO,Resultados no Procesados
5,Junta 35,SAN JOSE,CENTRAL,HOSPITAL,153 Votos PPSO,Resultados no Procesados
6,Junta 36,SAN JOSE,CENTRAL,HOSPITAL,151 Votos PPSO,Resultados no Procesados
7,Junta 38,SAN JOSE,CENTRAL,HOSPITAL,153 Votos PPSO,Resultados no Procesados
8,Junta 41,SAN JOSE,CENTRAL,HOSPITAL,164 Votos PPSO,Resultados no Procesados
9,Junta 47,SAN JOSE,CENTRAL,HOSPITAL,160 Votos PPSO,Resultados no Procesados
10,Junta 50,SAN JOSE,CENTRAL,HOSPITAL,175 Votos PPSO,Resultados no Procesados
11,Junta 71,SAN JOSE,CENTRAL,CATEDRAL,161 Votos PPSO,Resultados no Procesados
12,Junta 80,SAN JOSE,CENTRAL,CATEDRAL,149 Votos PPSO,Resultados no Procesados
13,Junta 88,SAN JOSE,CENTRAL,ZAPOTE,150 Votos PPSO,Resultados no Procesados
14,Junta 118,SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,151 Votos PPSO,Resultados no Procesados
15,Junta 138,SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,173 Votos PPSO,Resultados no Procesados
16,Junta 143,SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,167 Votos PPSO,Resultados no Procesados
17,Junta 144,SAN JOSE,CENTRAL,SAN FRANCISCO DE DOS RIOS,Certificación no disponible,167 Votos PPSO
18,Junta 154,SAN JOSE,CENTRAL,URUCA,110 Votos PPSO,0 Votos PPSO
19,Junta 162,SAN JOSE,CENTRAL,URUCA,174 Votos PPSO,Resultados no Procesados
20,Junta 165,SAN JOSE,CENTRAL,URUCA,159 Votos PPSO,Resultados no Procesados
21,Junta 167,SAN JOSE,CENTRAL,URUCA,173 Votos PPSO,Resultados no Procesados
22,Junta 168,SAN JOSE,CENTRAL,URUCA,Certificación no disponible,Resultados no Procesados
23,Junta 169,SAN JOSE,CENTRAL,URUCA,147 Votos PPSO,Resultados no Procesados
24,Junta 172,SAN JOSE,CENTRAL,URUCA,171 Votos PPSO,Resultados no Procesados
25,Junta 175,SAN JOSE,CENTRAL,URUCA,Certificación no disponible,156 Votos PPSO
26,Junta 184,SAN JOSE,CENTRAL,MATA REDONDA,107 Votos PPSO,105 Votos PPSO
27,Junta 192,SAN JOSE,CENTRAL,MATA REDONDA,147 Votos PPSO,Resultados no Procesados
28,Junta 199,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,131 Votos PPSO
29,Junta 204,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,Resultados no Procesados
30,Junta 205,SAN JOSE,CENTRAL,PAVAS,155 Votos PPSO,Resultados no Procesados
31,Junta 206,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,125 Votos PPSO
32,Junta 208,SAN JOSE,CENTRAL,PAVAS,144 Votos PPSO,Resultados no Procesados
33,Junta 216,SAN JOSE,CENTRAL,PAVAS,114 Votos PPSO,Resultados no Procesados
34,Junta 224,SAN JOSE,CENTRAL,PAVAS,191 Votos PPSO,Resultados no Procesados
35,Junta 225,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,Resultados no Procesados
36,Junta 237,SAN JOSE,CENTRAL,PAVAS,187 Votos PPSO,Resultados no Procesados
37,Junta 241,SAN JOSE,CENTRAL,PAVAS,184 Votos PPSO,Resultados no Procesados
38,Junta 242,SAN JOSE,CENTRAL,PAVAS,200 Votos PPSO,Resultados no Procesados
39,Junta 243,SAN JOSE,CENTRAL,PAVAS,190 Votos PPSO,Resultados no Procesados
40,Junta 245,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,200 Votos PPSO
41,Junta 247,SAN JOSE,CENTRAL,PAVAS,Votos no Legibles,Resultados no Procesados
42,Junta 250,SAN JOSE,CENTRAL,PAVAS,201 Votos PPSO,Resultados no Procesados
43,Junta 254,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,146 Votos PPSO
44,Junta 255,SAN JOSE,CENTRAL,PAVAS,Sin datos en la Certificación,156 Votos PPSO
45,Junta 256,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,160 Votos PPSO
46,Junta 258,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,151 Votos PPSO
47,Junta 262,SAN JOSE,CENTRAL,PAVAS,132 Votos PPSO,11 Votos PPSO
48,Junta 264,SAN JOSE,CENTRAL,PAVAS,157 Votos PPSO,Resultados no Procesados
49,Junta 265,SAN JOSE,CENTRAL,PAVAS,Sin datos en la Certificación,224 Votos PPSO
50,Junta 269,SAN JOSE,CENTRAL,PAVAS,Certificación no disponible,191 Votos PPSO
51,Junta 284,SAN JOSE,CENTRAL,HATILLO,Votos no Legibles,167 Votos PPSO
52,Junta 291,SAN JOSE,CENTRAL,HATILLO,181 Votos PPSO,Resultados no Procesados
53,Junta 293,SAN JOSE,CENTRAL,HATILLO,169 Votos PPSO,Resultados no Procesados
54,Junta 294,SAN JOSE,CENTRAL,HATILLO,173 Votos PPSO,Resultados no Procesados
55,Junta 295,SAN JOSE,CENTRAL,HATILLO,163 Votos PPSO,Resultados no Procesados
56,Junta 307,SAN JOSE,CENTRAL,HATILLO,Certificación no disponible,162 Votos PPSO
57,Junta 309,SAN JOSE,CENTRAL,HATILLO,Votos no Legibles,194 Votos PPSO
58,Junta 310,SAN JOSE,CENTRAL,HATILLO,Certificación no disponible,182 Votos PPSO
59,Junta 311,SAN JOSE,CENTRAL,HATILLO,173 Votos PPSO,Resultados no Procesados
60,Junta 312,SAN JOSE,CENTRAL,HATILLO,Votos no Legibles,Resultados no Procesados
61,Junta 315,SAN JOSE,CENTRAL,HATILLO,160 Votos PPSO,Resultados no Procesados
62,Junta 318,SAN JOSE,CENTRAL,HATILLO,166 Votos PPSO,Resultados no Procesados
63,Junta 326,SAN JOSE,CENTRAL,HATILLO,185 Votos PPSO,Resultados no Procesados
64,Junta 336,SAN JOSE,CENTRAL,HATILLO,Certificación no disponible,183 Votos PPSO
65,Junta 337,SAN JOSE,CENTRAL,HATILLO,Votos no Legibles,186 Votos PPSO
66,Junta 338,SAN JOSE,CENTRAL,HATILLO,Votos no Legibles,190 Votos PPSO
67,Junta 339,SAN JOSE,CENTRAL,HATILLO,Certificación no disponible,169 Votos PPSO
66,Junta 354,SAN JOSE,CENTRAL,HATILLO,Sin datos en la Certificación,200 Votos PPSO
68,Junta 359,SAN JOSE,CENTRAL,SAN SEBASTIAN,Certificación no disponible,194 Votos PPSO
69,Junta 363,SAN JOSE,CENTRAL,SAN SEBASTIAN,Certificación no disponible,194 Votos PPSO
70,Junta 367,SAN JOSE,CENTRAL,SAN SEBASTIAN,Certificación no disponible,173 Votos PPSO
71,Junta 386,SAN JOSE,CENTRAL,SAN SEBASTIAN,175 Votos PPSO,181 Votos PPSO
72,Junta 400,SAN JOSE,CENTRAL,SAN SEBASTIAN,165 Votos PPSO,166 Votos PPSO
73,Junta 404,SAN JOSE,CENTRAL,SAN SEBASTIAN,Votos no Legibles,Resultados no Procesados
74,Junta 407,SAN JOSE,CENTRAL,SAN SEBASTIAN,167 Votos PPSO,Resultados no Procesados
75,Junta 416,SAN JOSE,ESCAZU,ESCAZU,137 Votos PPSO,29 Votos PPSO
76,Junta 421,SAN JOSE,ESCAZU,ESCAZU,164 Votos PPSO,64 Votos PPSO
77,Junta 424,SAN JOSE,ESCAZU,ESCAZU,Certificación no disponible,139 Votos PPSO
78,Junta 443,SAN JOSE,ESCAZU,SAN ANTONIO,Certificación no disponible,169 Votos PPSO
79,Junta 474,SAN JOSE,ESCAZU,SAN RAFAEL,Certificación no disponible,114 Votos PPSO
80,Junta 487,SAN JOSE,ESCAZU,SAN RAFAEL,Sin datos en la Certificación,Resultados no Procesados
81,Junta 489,SAN JOSE,ESCAZU,SAN RAFAEL,Votos no Legibles,119 Votos PPSO
82,Junta 504,SAN JOSE,DESAMPARADOS,DESAMPARADOS,Certificación no disponible,Resultados no Procesados
83,Junta 509,SAN JOSE,DESAMPARADOS,DESAMPARADOS,Certificación no disponible,170 Votos PPSO
84,Junta 521,SAN JOSE,DESAMPARADOS,DESAMPARADOS,Certificación no disponible,181 Votos PPSO
85,Junta 539,SAN JOSE,DESAMPARADOS,DESAMPARADOS,193 Votos PPSO,Resultados no Procesados
86,Junta 541,SAN JOSE,DESAMPARADOS,DESAMPARADOS,Certificación no disponible,161 Votos PPSO
87,Junta 550,SAN JOSE,DESAMPARADOS,DESAMPARADOS,10 Votos PPSO,Resultados no Procesados
88,Junta 556,SAN JOSE,DESAMPARADOS,SAN MIGUEL,205 Votos PPSO,186 Votos PPSO
89,Junta 566,SAN JOSE,DESAMPARADOS,SAN MIGUEL,173 Votos PPSO,175 Votos PPSO
90,Junta 596,SAN JOSE,DESAMPARADOS,SAN MIGUEL,224 Votos PPSO,Resultados no Procesados
91,Junta 597,SAN JOSE,DESAMPARADOS,SAN MIGUEL,191 Votos PPSO,Resultados no Procesados
92,Junta 598,SAN JOSE,DESAMPARADOS,SAN MIGUEL,200 Votos PPSO,Resultados no Procesados
